point_id,region_code,aip_cycle,ident,point_type,name,latitude_deg,longitude_deg,elevation_ft,iso_country,associated_airport,frequency_khz,dme_frequency_khz,dme_channel,usage_type,power,source_system,source_file
US-2605-airport-PABT,US,2605,PABT,airport,Bettles Airport,66.913902,-151.529007,647,US,PABT,,,,,,OurAirports,airports.csv
US-2605-airport-PABU,US,2605,PABU,airport,Bullen Point Short Range Radar Station Airport,70.170999,-146.844897,18,US,PABU,,,,,,OurAirports,airports.csv
US-2605-airport-PABV,US,2605,PABV,airport,Birchwood Airport,61.4165,-149.507004,83,US,PABV,,,,,,OurAirports,airports.csv
US-2605-airport-PACA,US,2605,PACA,airport,Cape Spencer C.G. Heliport,58.19910049439999,-136.639007568,84,US,PACA,,,,,,OurAirports,airports.csv
US-2605-airport-PACD,US,2605,PACD,airport,Cold Bay Airport,55.207871,-162.725029,96,US,PACD,,,,,,OurAirports,airports.csv
US-2605-airport-PACE,US,2605,PACE,airport,Central Airport,65.573815,-144.780707,937,US,PACE,,,,,,OurAirports,airports.csv
US-2605-airport-PACH,US,2605,PACH,airport,Chuathbaluk Airport,61.579102,-159.216003,244,US,PACH,,,,,,OurAirports,airports.csv
US-2605-airport-PACI,US,2605,PACI,airport,Chalkyitsik Airport,66.644997,-143.740005,544,US,PACI,,,,,,OurAirports,airports.csv
US-2605-airport-PACJ,US,2605,PACJ,airport,Crooked Creek Airport,61.870315,-158.137636,178,US,PACJ,,,,,,OurAirports,airports.csv
US-2605-airport-PACK,US,2605,PACK,airport,Chefornak Airport,60.136667,-164.279167,49,US,PACK,,,,,,OurAirports,airports.csv
US-2605-airport-PACL,US,2605,PACL,airport,Clear Airport,64.299738,-149.117432,552,US,PACL,,,,,,OurAirports,airports.csv
US-2605-airport-PACM,US,2605,PACM,airport,Scammon Bay Airport,61.84471,-165.575209,14,US,PACM,,,,,,OurAirports,airports.csv
US-2605-airport-PACR,US,2605,PACR,airport,Circle City (New) Airport,65.827673,-144.076195,613,US,PACR,,,,,,OurAirports,airports.csv
US-2605-airport-PACS,US,2605,PACS,airport,Cape Sarichef Airport,54.583934,-164.905727,291,US,PACS,,,,,,OurAirports,airports.csv
US-2605-airport-PACV,US,2605,PACV,airport,Merle K (Mudhole) Smith Airport,60.491798,-145.477997,54,US,PACV,,,,,,OurAirports,airports.csv
US-2605-airport-PACX,US,2605,PACX,airport,Coldfoot Airport,67.25219726559999,-150.203994751,1042,US,PACX,,,,,,OurAirports,airports.csv
US-2605-airport-PACY,US,2605,PACY,airport,Yakataga Airport,60.080974,-142.494541,12,US,PACY,,,,,,OurAirports,airports.csv
US-2605-airport-PACZ,US,2605,PACZ,airport,Cape Romanzof LRRS Airport,61.78030014,-166.0390015,464,US,PACZ,,,,,,OurAirports,airports.csv
US-2605-airport-PADE,US,2605,PADE,airport,Deering Airport,66.068901,-162.766914,21,US,PADE,,,,,,OurAirports,airports.csv
US-2605-airport-PADG,US,2605,PADG,airport,Red Dog Airport,68.032097,-162.899002,969,US,PADG,,,,,,OurAirports,airports.csv
US-2605-airport-PADK,US,2605,PADK,airport,Adak Airport,51.883564,-176.642783,18,US,PADK,,,,,,OurAirports,airports.csv
US-2605-airport-PADL,US,2605,PADL,airport,Dillingham Airport,59.04470062,-158.5050049,81,US,PADL,,,,,,OurAirports,airports.csv
US-2605-airport-PADM,US,2605,PADM,airport,Marshall Don Hunter Sr Airport,61.8643,-162.026001,103,US,PADM,,,,,,OurAirports,airports.csv
US-2605-airport-PADQ,US,2605,PADQ,airport,Kodiak Airport,57.75,-152.4940033,78,US,PADQ,,,,,,OurAirports,airports.csv
US-2605-airport-PADT,US,2605,PADT,airport,Duffys Tavern Airport,62.724602,-143.921005,2420,US,PADT,,,,,,OurAirports,airports.csv
US-2605-airport-PADU,US,2605,PADU,airport,Tom Madsen (Dutch Harbor) Airport,53.89881,-166.544996,22,US,PADU,,,,,,OurAirports,airports.csv
US-2605-airport-PADY,US,2605,PADY,airport,Kongiganak Airport,59.9608,-162.880997,30,US,PADY,,,,,,OurAirports,airports.csv
US-2605-faa-cifp-navaid-PAE-758,US,2605,PAE,navaid,PAINE,47.91983333,-122.27780278,,US,,,,,,,FAA CIFP,US_FAA_CIFP/FAACIFP18.txt
US-2605-navaid-PAE-2221,US,2605,PAE,vor-dme,Paine,47.9197998046875,-122.27799987792969,670,US,KPAE,110600,110600,043X,LO,MEDIUM,OurAirports,navaids.csv
US-2605-airport-PAED,US,2605,PAED,airport,Elmendorf Air Force Base,61.251709,-149.807097,212,US,PAED,,,,,,OurAirports,airports.csv
US-2605-airport-PAEE,US,2605,PAEE,airport,Eek Airport,60.213173,-162.044048,12,US,PAEE,,,,,,OurAirports,airports.csv
US-2605-airport-PAEG,US,2605,PAEG,airport,Eagle Airport,64.778003,-141.150455,908,US,PAEG,,,,,,OurAirports,airports.csv
US-2605-airport-PAEH,US,2605,PAEH,airport,Cape Newenham LRRS Airport,58.646400451699996,-162.06300354,541,US,PAEH,,,,,,OurAirports,airports.csv
US-2605-airport-PAEI,US,2605,PAEI,airport,Eielson Air Force Base,64.66570282,-147.102005,547,US,PAEI,,,,,,OurAirports,airports.csv
US-2605-airport-PAEL,US,2605,PAEL,airport,Elfin Cove Seaplane Base,58.195201873799995,-136.347000122,0,US,PAEL,,,,,,OurAirports,airports.csv
US-2605-airport-PAEM,US,2605,PAEM,airport,Emmonak Airport,62.78609848,-164.4909973,13,US,PAEM,,,,,,OurAirports,airports.csv
US-2605-airport-PAEN,US,2605,PAEN,airport,Kenai Municipal Airport,60.570946,-151.245174,99,US,PAEN,,,,,,OurAirports,airports.csv
