Flight Routes for International Flights to Mainland of China Nr2605 (EFF202605131600UTC),,
SAGAG-ZPPP-01,VDPP VDSA VDSV VDTI VLLB VLVT VTBD VTBS VTBU VTCA VTCC VTCT VTSB VTSG VTSM VTSP VTSS VVPQ VVTS WADD WAHQ WIHH WIII WMKJ WMKK WMKL WMKP WSAP WSSL WSSS,SAGAG A581 ELASU,
SAGAG-ZSJN-01,VDPP VDTI,SAGAG A581 SGM W144 IGNAK W179 WFX W81 APIMI W275 NSH W280 SUDGO W4 WXI W59 UBSIS,
SAGAG-ZSNJ-01,VTCC,SAGAG A581 WHA R343 HFE W51 LEGIV W164 OREVO,
SAGAG-ZSOF-01,VDPP VDTI,SAGAG A581 WHA R343 MIDOX,
SAGAG-ZUCK-01,VDPP VDSA VDSV VDTI VLLB VLVT VTBD VTBS VTBU VTCA VTCC VTCT VTSB VTSG VTSM VTSP VVDN VYYY WIDD WIHH WIII WMKJ WMKK WMKL WMKP WSAP WSSL WSSS,SAGAG A581 SGM W144 ZAT W145 IDSID W30 URGUS W91 EGARA W3 ASIPO W678 SEGDA,
SAGAG-ZUGY-01,VDPP VDSA VDSV VDTI VLLB VLVT VTBD VTBS VTBU VTCA VTCC VTCT VTSG VTSP WMKJ WSAP WSSL WSSS,SAGAG A581 QNX,
SAGAG-ZUTF-01,VDPP VDTI VLVT VTBD VTBS VTCC VTSM VTSP VVTS WIHH WIII WMKK WMKP WSAP WSSL WSSS,SAGAG A581 SGM W144 IGNAK,
SAGAG-ZUUU-01,FIMP VDPP VDSA VDSV VDTI VLLB VLVT VTBD VTBS VTBU VTCA VTCC VTCT VTSB VTSG VTSM VTSP WADD WADL WIDD WIDN WIHH WIII WMKK WMKL WMKP WSAP WSSL WSSS,SAGAG A581 SGM W144 IGNAK,
SAGAG-ZWWW-01,VTBD VTBS VTSP,SAGAG A581 SGM W144 IGNAK W179 OMBON W195 ESPED W66 NUKTI B215 HAM W99 FKG B215 WUR,
SAGAG-ZWWW-02,VTBD VTBS VTSP,SAGAG A581 SGM W144 IGNAK W179 OMBON W195 IDOPA W197 ANDIM B215 IBANO G470 QTV W99 FKG B215 WUR,
SAGAG-ZYTX-01,VTCC,SAGAG A581 SGM W144 IGNAK W179 WFX W81 APIMI W275 WJC G212 VYK W34 PAMRU W244 IGMOR W36 ENVAV W243 OTBUL W35 CHG A575 OMDUS,
SARIN-ZBAA-01,EBBR EBCI EDDF EDDM EHAM ELLX EPWA HECA HLLT HSSS LFAT LFPB LFPG LFPO LIPZ LLBG LOWW LSZH LTBA LTFJ LTFM LYBE LYBT OEJN OEMA OERK OERY OIIE OIII OMAA OMAD OMDB OMDW ORMM UAAA UACC UAFF UAFU UBBB UCFM UKBB UKBB UKBU UKKK UKKM UTAA UTAV,SARIN A368 FKG W188 LIKMI W270 DKO W69 GUVBA,
SARIN-ZBAD-01,EGAE EGGW EGKK EGLL EGSS EHAM EPWA GMMN LTBA LTFJ LTFM,SARIN A368 FKG W188 LIKMI W270 DKO W64 ELAPU,
SARIN-ZBHH-01,UUDD UUEE UUMO UUWW,SARIN A368 FKG W188 LIKMI W270 DKO W64 VALNI,
SARIN-ZBTJ-01,EBBR EBCI EPWA LEMD LETO LYBE LYBT UACC UBBB UKBB UKBU UKKK UKKM,SARIN A368 FKG W188 LIKMI W270 DKO W69 GUVBA,
SARIN-ZGGG-01,EBBR EBCI EBLG EDDF EFHK EGAE EGCC EGGW EGKK EGLL EGSS EHAM LEMD LETO LFAT LFPB LFPG LFPO LGAV LHBP LIMB LIMC LIML LIRA LIRF LLBG LOWW LTBA LTFJ LTFM LYBE LYBT UACC ULLI UUDD UUEE UUMO UUWW,SARIN A368 FKG W192 ESDEX W191 DNC W565 BIGUX B330 KWE W181 DUDIT A599 GYA,
SARIN-ZGGG-02,EBBR EBCI EGCC LEMD LETO LLBG UUDD UUEE UUMO UUWW,SARIN A368 FKG W188 LIKMI W270 NOLOM B330 KWE W181 DUDIT A599 GYA,
SARIN-ZGSZ-01,EBBR EBCI EDDF EGAE EGGW EGKK EGLL EGSS EHAM EIDW GMMN HECA HKJK LEBL LEMD LETO LFAT LFPB LFPG LFPO LGAV LHBP LIMB LIMC LIML LIRA LIRF LKPR LLBG LOWW LSGG LSZH LTBA LTFJ LTFJ LTFM UAKK URSS UTAA UUDD UUEE UUMO UUWW UZTT,SARIN A368 FKG W192 ESDEX W191 DNC W565 BIGUX B330 KWE W181 DUDIT A599 POU W7 SAREX,
SARIN-ZGSZ-02,EBBR EBCI EGAE EGGW EGKK EGLL EGSS EHAM GMMN HECA HKJK LEBL LEMD LETO LFAT LFPB LFPG LFPO LHBP LIMB LIMC LIML LIRA LIRF LLBG LOWW LSZH LTBA LTFJ LTFM OIIE OIII,SARIN A368 FKG W188 LIKMI W270 NOLOM B330 KWE W181 DUDIT A599 POU W7 SAREX,
SARIN-ZHCC-01,LEMD LETO LFAT LFPB LFPG LFPO UAKK URSS UUDD UUEE UUMO UUWW,SARIN A368 FKG W188 LIKMI W270 DKO W64 NUTLO B208 NOPIN,
SARIN-ZJHK-01,URRP,SARIN A368 FKG W188 LIKMI W270 NOLOM B330 SJG W2 LBN W159 BHY W70 NYB,
SARIN-ZJSY-01,UACC,SARIN A368 FKG W188 LIKMI W270 NOLOM B330 SJG W2 LBN W159 BHY W70 NYB G221 WL,
SARIN-ZJSY-02,UACC,SARIN A368 FKG W192 ESDEX W191 DNC W565 BIGUX B330 KWE W181 DUDIT A599 LBN W159 BHY W70 NYB G221 WL,
SARIN-ZLIC-01,OEJN,SARIN A368 FKG W188 LIKMI W270 NOLOM B330 ELRUB W199 YHD,
SARIN-ZLLL-01,HSSS OEJN,SARIN A368 FKG W188 LIKMI W270 NOLOM B330 IDUGI,
SARIN-ZLLL-02,ELLX,SARIN A368 FKG W192 ESDEX W191 AVBUD,
SARIN-ZLXY-01,EBBR EBCI EGAE EGGW EGKK EGLL EGSS ELLX ENFB ENGM GMMN HECA HKJK LEBL LEMD LETO LFAT LFPB LFPG LFPO LHBP LIMB LIMC LIML LIRA LIRF LKPR LSZH OMDB OMDW UACC UKBB UKBU UKKK UKKM ULLI UUDD UUEE UUMO UUWW,SARIN A368 FKG W188 LIKMI W270 NOLOM B330 BIGUX W214 HO,
SARIN-ZLXY-02,EBBR EBCI EGAE EGGW EGKK EGLL EGSS ENFB ENGM GMMN HECA HKJK LEMD LETO LFAT LFPB LFPG LFPO LHBP LIMB LIMC LIML LIRA LIRF LOWW LSZH LTBA LTFJ LTFM OMDB OMDW UACC UKBB UKBU UKKK UKKM UUDD UUEE UUMO UUWW UZTT,SARIN A368 FKG W192 ESDEX W191 DNC W565 BIGUX W214 HO,
SARIN-ZPPP-01,LFAT LFPB LFPG LFPO LTBA LTFJ LTFM URSS,SARIN A368 FKG W192 ESDEX W191 DNC W565 BIGUX B330 UBKER G212 SGM,
SARIN-ZPPP-02,LFAT LFPB LFPG LFPO LTBA LTFJ LTFM,SARIN A368 FKG W188 LIKMI W270 NOLOM B330 UBKER G212 SGM,
SARIN-ZSCN-01,LIMB LIMC LIML,SARIN A368 FKG W192 ESDEX W191 DNC W565 BIGUX B330 VIMAM W235 UBRAB B213 WHA R343 SAGUD W50 XSH W105 PEXEK,
SARIN-ZSCN-02,EBLG UAKK,SARIN A368 FKG W188 LIKMI W270 DKO W64 NUTLO B208 CGO W129 KAMDA W128 DUDBI W37 HG W50 XSH W105 PEXEK,
SARIN-ZSHC-01,EBLG EHAM HECA,SARIN A368 FKG W188 LIKMI W270 DKO W64 NUTLO B208 CGO W129 KAMDA W128 FYG B208 HFE R343 UPLEL W95 SAPIN A470 IGRAT,
SARIN-ZSJN-01,EBLG LFAT LFPB LFPG LFPO LIMB LIMC LIML,SARIN A368 FKG W188 LIKMI W270 DKO W69 HUR B339 SOTMU W98 ELKUR W40 PANKI,
SARIN-ZSNJ-01,ELLX LIMB LIMC LIML UAAA,SARIN A368 FKG W192 ESDEX W191 DNC W565 BIGUX B330 VIMAM W235 UBRAB B213 WHA R343 HFE W51 LEGIV W164 OREVO,
SARIN-ZSPD-01,EDDF EDDK EDDM EDFH EGAE EGGW EGKK EGLL EGSS EHAM LEZG LHBP LOWW LSZH LTBA LTFJ LTFJ LTFM UZTT,SARIN A368 FKG W188 LIKMI W270 DKO W64 NUTLO B208 CGO W129 KAMDA W128 FYG B208 HFE R343 EKIMU,
SARIN-ZSPD-02,EDAC EDDF EDDM EDDP EFHK EKCH EKRK ELLX HECA LFAT LFBO LFPB LFPG LFPO LIMB LIMC LIML LLBG LOWW LSZH UACC UAKK UATG UBBB UGTB,SARIN A368 FKG W188 LIKMI W270 DKO W69 HUR B339 SOTMU W98 ELKUR W40 YQG W142 DALIM A593 DPX A470 DALNU W166 ZJ W167 SASAN R343 EKIMU,
SARIN-ZSSS-01,USSS UZTT,SARIN A368 FKG W188 LIKMI W270 DKO W69 HUR B339 SOTMU W98 ELKUR W40 YQG W142 DALIM A593 DPX A470 DALNU W166 ZJ W167 SASAN R343 PK,
SARIN-ZSYT-01,UAKK,SARIN A368 FKG W188 LIKMI W270 DKO W69 HUR B339 LADIX W34 VAPGU W100 ORAVA W201 OSVEN W588 GUMED,
SARIN-ZUCK-01,EBBR EBCI EBLG EDDF EDDL EDDM EDFH EGAE EGCC EGGW EGKK EGLL EGSS EHAM ELLX ENFB ENGM EPWA LEMD LETO LFAT LFPB LFPG LFPO LHBP LIMB LIMC LIML LIRA LIRF LKPR LLBG LOWW LTBA LTFJ LTFM UMMS UUDD UUEE UUMO UUWW,SARIN A368 FKG W192 ESDEX W191 DNC W565 BIGUX B330 OVRAL W242 VIPAG W666 VINEX,
SARIN-ZUCK-02,EBBR EBCI EDFH EGAE EGCC EGGD EGGW EGKK EGLL EGSS EHAM ELLX ENFB ENGM LEMD LETO LFAT LFPB LFPG LFPO LHBP LIRA LIRF ULLI UUDD UUEE UUMO UUWW,SARIN A368 FKG W188 LIKMI W270 NOLOM B330 OVRAL W242 VIPAG W666 VINEX,
SARIN-ZUGY-01,EGAE EGGW EGKK EGLL EGSS LFAT LFPB LFPG LFPO LIMB LIMC LIML LTBA LTFJ LTFM,SARIN A368 FKG W188 LIKMI W270 NOLOM B330 QNX,
SARIN-ZUGY-02,EGAE EGGW EGKK EGLL EGSS LFAT LFPB LFPG LFPO LTBA LTFJ LTFM,SARIN A368 FKG W192 ESDEX W191 DNC W565 BIGUX B330 QNX,
SARIN-ZUTF-01,EBBR EBCI EDDF EFHK EGAE EGGW EGKK EGLL EGSS EHAM HECA LEMD LETO LFAT LFPB LFPG LFPO LHBP LIRA LIRF LLBG LOWW LTBA LTFJ LTFM ULLI UMMS UUDD UUEE UUMO UUWW,SARIN A368 FKG W192 ESDEX W191 DNC W565 BIGUX B330 MEXAD,
SARIN-ZUTF-02,LHBP LIRA LIRF LLBG LOWW,SARIN A368 FKG W188 LIKMI W270 NOLOM B330 MEXAD,
SARIN-ZUUU-01,EBBR EBCI EBLG EDDF EFHK EGAE EGGW EGKK EGLL EGSS EHAM EKCH EKRK ELLX HECA LEMD LETO LFAT LFOK LFPB LFPG LFPO LGAV LHBP LIPO LIRA LIRF LKPR LLBG LOWW LTBA LTFJ LTFM OIIE OIII UACC ULLI UMMS URSS UUDD UUEE UUMO UUWW,SARIN A368 FKG W192 ESDEX W191 DNC W565 BIGUX B330 MEXAD,
SARIN-ZUUU-02,EGAE EGGW EGKK EGLL EGSS EHAM LEBL LGAV LHBP LIRA LIRF LLBG LOWW OIIE OIII,SARIN A368 FKG W188 LIKMI W270 NOLOM B330 MEXAD,
SARIN-ZWWW-01,EBLG EDDF EGAE EGGW EGKK EGLL EGSS EHAM EVRA LFAT LFPB LFPG LFPO LHBP LIMB LIMC LIML LIRA LIRF LOWW LTBA LTFJ LTFM OEJN OEMA OIIE OIII UACC UAKK UBBB UGTB UKBB UKBU UKKK UKKM ULLI UMMS USSS UTDD UUDD UUEE UUMO UUWW UWKD UZTT,SARIN A368 FKG B215 WUR,
SARUL-ZBLA-01,ZMCD ZMCK ZMUB,SARUL G338 KAGAK A345 HLD,
SARUL-ZBMZ-01,ZMCK ZMUB,SARUL G338 IKARU W606 MZL,
SARUL-ZYCC-01,ZMCK ZMUB,SARUL G338 KAGAK A345 HLD B451 HRB A588 PABKI W655 DUKIR,
SIKOU-ZGNN-01,RPLL RPMM,SIKOU R339 WUY,
SIKOU-ZJHK-01,NSFA NVVV NZAA PGSN RPLC RPLL RPMD RPMM WADD WBSB WMKK WSAP WSSL WSSS YMML YSSY,SIKOU A202 ISBIG W605 DOMGO,
SIKOU-ZJSY-01,RJAA RJBB RJOO RJTT RJTY RPLC RPLL RPMM VTBD VTBS WMKK WSAP WSSL WSSS,SIKOU A202 SAMAS G221 WL,
SIKOU-ZPPP-01,NZAA RPLL RPMM RPVK RPVM WAMM WBKK YSSY,SIKOU R339 BSE A599 LXI,
SIMLI-ZBAA-01,CYMX CYUL CYVR CYYZ KBFI KBOS KBWI KDAL KDCA KDET KDFW KDTW KEWR KHIO KHOU KIAD KIAH KJFK KLAS KLAX KLGA KMDW KMEM KORD KPAE KPDX KPHL KPIT KSEA KSFO KSJC KYIP MMTJ PAED PANC PGUA PGUM PHNL UEEE,SIMLI A588 HRB G212 UKDUM W49 OSUBA,
SIMLI-ZBAD-01,KBFI KDET KDTW KPAE KSEA KYIP,SIMLI A588 HRB G212 BUMDU,
SIMLI-ZBTJ-01,CYEG CYVR KEWR KJFK KLGA KPIT,SIMLI A588 VENOS W573 DBL W5 EKULI W576 OVTUP W55 DUMAP,
SIMLI-ZGSZ-01,KBOS KLAX,SIMLI A588 HRB G212 VYK W37 OMBEB R473 NOLON W90 POU W7 SAREX,
SIMLI-ZHHH-01,CYYZ,SIMLI A588 HRB G212 VYK W37 PONUD,
SIMLI-ZJSY-01,UHBB,SIMLI A588 HRB G212 VYK W37 OMBEB R473 WYN W18 TAMOT SIKOU A202 SAMAS G221 WL,
SIMLI-ZLXY-01,CYVR KBFI KPAE KSEA KSFO,SIMLI A588 HRB G212 BUMDU W47 LOVRA,
SIMLI-ZSHC-01,KSFO,SIMLI A588 HRB G212 SOTMU W98 ELKUR W40 YQG W142 DALIM A593 DPX A470 OF W95 SAPIN A470 IGRAT,
SIMLI-ZSHC-02,KMDW KORD KSFO PAED PANC,SIMLI A588 CHI W107 SANKO A326 AKARA A593 DUMET W114 LASAN G327 NINAS B221 SUPAR W505 DSH,
SIMLI-ZSPD-01,CYMX CYUL CYVR CYYZ KATL KBFI KBWI KDAL KDCA KDET KDFW KDTW KEWR KHIO KIAD KJFK KLAX KLGA KMDW KMEM KORD KPAE KPDX KSEA KSFO KYIP PAED PANC PHNL,SIMLI A588 HRB G212 SOTMU W98 ELKUR W40 YQG W142 DALIM A593 DPX A470 DALNU W166 ZJ W167 SASAN R343 EKIMU,
SIMLI-ZSPD-02,CYMX CYUL CYVR CYYZ KATL KBFI KBOS KDAL KDET KDFW KDTW KEWR KJFK KLAX KLGA KMDW KORD KPAE KSEA KSFO KSJC KYIP PAED PANC,SIMLI A588 CHI W107 SANKO A326 AKARA A593 PUD,
SIMLI-ZSQD-01,CYYZ KLAX,SIMLI A588 UDETI W106 MAKNO W5 HCH W651 NOKUD,
SIMLI-ZSSS-01,CYVR CYYZ KBFI KEWR KJFK KLAX KLGA KPAE KSEA KSFO PAED PANC,SIMLI A588 HRB G212 SOTMU W98 ELKUR W40 YQG W142 DALIM A593 DPX A470 DALNU W166 ZJ W167 SASAN R343 PK,
SIMLI-ZUUU-01,KSFO,SIMLI A588 HRB G212 VYK B215 KAPDO W276 ANRUG W279 ONEBA G212 SUBUL W230 AKDIK,
SIMLI-ZYHB-01,UEEE UHBB,SIMLI A588 BUBDI,
SIMLI-ZYTL-01,UEEE,SIMLI A588 VENOS,
TAMOT-ZGGG-01,AYPY KIND KMEM KSFO NFFN NZAA NZCH PGSN PHNL RPLB RPLC RPLI RPLL RPMM RPVE RPVK RPVM VDPP VDSA VDSV VDTI VVCR VVDN VVTS WADD WAMM WARR WBKK WBKK WBKW WBSB WIHH WIII WMKJ WMKK WMKL WMKM WMKP WSAP WSSL WSSS YBBN YBCS YMML YPAD YPPH YSSY,TAMOT W68 IDUMA,
TEBAK-ZBAA-01,FIMP VCBI VCCC VCRI VDPP VDSA VDSV VDTI VRMM VTBD VTBS VTCC VTSG VTSP VVCI VVCR VVDN VVNB VVPC VVPQ VVTS WMKK WSAP WSSL WSSS,TEBAK R474 WUY R343 GOSMA W82 UPMAT W56 DUGEB,
TEBAK-ZBAD-01,VDPP VDTI VLVT VTBD VTBS VTSP VVNB WMKK WSAP WSSL WSSS,TEBAK R474 WUY R343 GOSMA W82 UPMAT W56 ORODO W62 TEKIL G212 BELAX,
TEBAK-ZBHH-01,VDSA VTBD VTBS VTSG VTSP,TEBAK R474 WUY R343 GOSMA W82 UPMAT W56 OBMEP B208 TODAM,
TEBAK-ZBLA-01,VTBD VTBS,TEBAK R474 WUY R343 GOSMA W82 UPMAT W56 VYK G212 SOTMU B339 HUR B334 TGO W27 IKITI A345 HLD,
TEBAK-ZBSJ-01,VDPP VDSA VDSV VDTI VTBD VTBS VTBU VTCC VTSP VVCR VVDL VVDN WADD,TEBAK R474 WUY R343 GOSMA W82 UPMAT W56 ORODO W62 AVLIS,
TEBAK-ZBTJ-01,VDPP VDSA VDSV VDTI VTBD VTBS VTBU VTSG VTSP VVCR VVDN WIDD,TEBAK R474 WUY R343 GOSMA W82 UPMAT W56 GUVRI W85 OMDEK,
TEBAK-ZBYN-01,VDSA VDSV VTSP VVCR VVDN VVPQ,TEBAK R474 WUY R343 GOSMA W82 UPMAT W56 OBMEP B208 ANPIG,
TEBAK-ZGDY-01,VTBD VTBS VVNB VVTS WMKK WMKP,TEBAK R474 WUY R343 LLC W138 DYG,
TEBAK-ZGGG-01,VIDP VLLB VLVT VTBD VTBS VTCA VTCC VTCT VTSP VVCI VVDN VVNB VYYY,TEBAK R474 GYA,
TEBAK-ZGHA-01,HKJK VDPP VDSA VDSV VDTI VLLB VLVT VTBD VTBS VTBU VTCA VTCC VTCT VTSB VTSG VTSP VVCI VVCR VVNB VVTS VVVD WMKK,TEBAK R474 WUY R343 AVNEL W618 SEBMO W227 RUKLI,
TEBAK-ZGKL-01,VDSA VTBD VTBS VTSG VTSP VVTS WIHH WIII WMKK WSAP WSSL WSSS,TEBAK R474 WUY R343 LBN W2 MOTOM,
TEBAK-ZGNN-01,VDPP VDSA VDTI VLVT VTBD VTBS VTBU VTCC VTSG VTSP VVCR VVDN VVNB VVTS VYYY WIHH WIII WMKK WSAP WSSL WSSS,TEBAK R474 XEREN,
TEBAK-ZGSZ-01,OTBD OTHH VLLB VTBD VTBS VVCI VVNB VVVD VYMD VYNT VYYY,TEBAK R474 GYA A599 POU W7 SAREX,
TEBAK-ZGZJ-01,VDPP VDTI VTBD VTBS VVNB VVTS WMKK,TEBAK R474 WUY R339 BHY,
TEBAK-ZHCC-01,VDPP VDSA VDSV VDTI VTBD VTBS VTBU VTCC VTSB VTSG VTSM VTSP VVCR VVDN VVNB WIDD WIHH WIII WMKK WSAP WSSL WSSS,TEBAK R474 WUY R343 GOSMA W82 UPMAT W56 IGMIG,
TEBAK-ZHEC-01,VTBD VTBS VVNB,TEBAK R474 WUY R343 GOSMA W82 UPMAT,
TEBAK-ZHHH-01,FIMP VDPP VDSA VDSV VDTI VLLB VLVT VTBD VTBS VTBU VTCA VTCT VTSB VTSG VTSP VVDN VVNB VVPB VVTS WMKK WMKL WMKP WSAP WSSL WSSS,TEBAK R474 WUY R343 GOSMA W82 UPMAT,
TEBAK-ZJHK-01,VTBD VTBS VVNB VYYY WMKK,TEBAK R474 WUY R339 BHY W70 NYB,
TEBAK-ZJSY-01,VVNB,TEBAK R474 WUY R339 BHY W70 NYB G221 WL,
TEBAK-ZLIC-01,WMKK,TEBAK R474 WUY R343 GOSMA W82 UPMAT W56 OBMEP B208 AGVUR B215 APOGO W218 TUTGO W220 NIRUV B215 YHD,
TEBAK-ZSAM-01,OMDB OMDW VVNB,TEBAK R474 GYA A599 POU G471 SHL W22 GUBLO R200 BEBEM A470 TEBON,
TEBAK-ZSCN-01,VDPP VDSA VDSV VDTI VLLB VLVT VTBD VTBS VTBU VTCA VTCC VTCT VTSG VTSP VVNB,TEBAK R474 WUY R343 ABTUD W227 GUTGO,
TEBAK-ZSHC-01,VLVT VRMM VTBD VTBS VTBU VTCA VTCC VTCT VTSP VVCI VVDN VVNB VYYY,TEBAK R474 GYA B330 POU G471 SHL W26 UPRIK W41 OMDUP G471 PLT A599 ELNEX,
TEBAK-ZSJN-01,VDSA VTBD VTBS VTCC VTSG VTSP WIDD WSAP WSSL WSSS,TEBAK R474 WUY R343 GOSMA W82 UPMAT W56 VADMO W4 WXI W59 UBSIS,
TEBAK-ZSLY-01,VTBD VTBS,TEBAK R474 WUY R343 GOSMA W82 UPMAT W56 IDPOG A581 WHA R343 HFE W127 XUZ W125 DO W126 DPX A593 AVPEP,
TEBAK-ZSNB-01,VTBD VTBS VTBU VTCC VTSP VYYY,TEBAK R474 GYA B330 POU G471 SHL W26 UPRIK W41 OMDUP G471 PLT A599 ELNEX G204 SHZ,
TEBAK-ZSNB-02,VVNB,TEBAK R474 GYA B330 POU G471 SHL W26 UPRIK W41 OMDUP G471 PLT A599 ELNEX G204 SHZ W58 BK,
TEBAK-ZSNJ-01,VDSA VDSV VTBD VTBS VTSG VTSP VVCI VVNB VVPQ,TEBAK R474 WUY R343 GOSMA W82 UPMAT W56 IDPOG A581 WHA R343 HFE W51 LEGIV W164 OREVO,
TEBAK-ZSNT-01,VDSV VTBD VTBS VTSG VTSP VVNB,TEBAK R474 WUY R343 GOSMA W82 UPMAT W56 IDPOG A581 WHA R343 OLRIS G345 UNTAN G330 PIKAS W109 NTG,
TEBAK-ZSOF-01,VDSA VDSV VTBD VTBS VTCC VTSG VTSP VVNB WIDD WSAP WSSL WSSS,TEBAK R474 WUY R343 GOSMA W82 UPMAT W56 IDPOG A581 WHA R343 MIDOX,
TEBAK-ZSPD-01,VCBI VCCC VCRI VLLB VLVT VRMM VTBD VTBS VTCA VTCC VTCT VTSM VTSP VVNB WMKK,TEBAK R474 WUY R343 GOSMA W82 UPMAT W56 IDPOG A581 WHA R343 EKIMU,
TEBAK-ZSQD-01,VTBD VTBS,TEBAK R474 WUY R343 GOSMA W82 UPMAT W56 VADMO W4 WXI W59 SUNOK W103 YQG W569 NOBUP W4 HCH W651 NOKUD,
TEBAK-ZSQD-02,VTBD VTBS VVNB,TEBAK R474 WUY R343 GOSMA W82 UPMAT W56 VADMO W4 WXI W59 SUNOK W103 WFG,
TEBAK-ZSSH-01,VDSA VTBD VTBS VTSG VTSP,TEBAK R474 WUY R343 GOSMA W82 UPMAT W56 IDPOG A581 WHA R343 MADUK W73 NOBEM W95 OF W178 LAGAL W525 HUN,
TEBAK-ZSSS-01,VTBD VTBS VTCC VTSP VVNB,TEBAK R474 WUY R343 GOSMA W82 UPMAT W56 IDPOG A581 WHA R343 PK,
TEBAK-ZSTX-01,VTBD VTBS VVNB,TEBAK R474 GYA B330 POU G471 SHL W26 UPRIK W41 OMDUP G471 PLT A599 ELNEX G204 TXN,
TEBAK-ZSXZ-01,VDSA VTBD VTBS VTSG VTSP VVNB WSAP WSSL WSSS,TEBAK R474 WUY R343 GOSMA W82 UPMAT W56 IDPOG A581 WHA R343 HFE W127 ATVIM,
TEBAK-ZSYA-01,VDPP VDSA VDTI VLLB VLVT VTBD VTBS VTSP,TEBAK R474 WUY R343 GOSMA W82 UPMAT W56 IDPOG A581 WHA R343 OLRIS G345 ZJ W184 PIMOL,
TEBAK-ZUGY-01,VDPP VDTI VVNB WIHH WIII WMKK WMKL WMKP,TEBAK R474 WUY R343 LBN W2 SJG B330 ELKAL,
TEBAK-ZYCC-01,VTBD VTBS VTSP,TEBAK R474 WUY R343 GOSMA W82 UPMAT W56 VYK G212 SOTMU B339 HUR B334 TGO G341 BUTET,
TEBAK-ZYHB-01,VTBD VTBS VTSP VVNB,TEBAK R474 WUY R343 GOSMA W82 UPMAT W56 VYK G212 SOTMU B339 HUR B334 TGO G212 RUSBO W203 PIGAM,
TEBAK-ZYTL-01,VTBD VTBS,TEBAK R474 WUY R343 GOSMA W82 UPMAT W56 VADMO W4 WXI W59 SUNOK W103 YQG W569 NOBUP W4 HCH W173 NIXEP,
TEBAK-ZYTX-01,VDSA VDSV VRMM VTBD VTBS VTSG VTSP WMKK,TEBAK R474 WUY R343 GOSMA W82 UPMAT W56 VYK W34 PAMRU W244 IGMOR W36 ENVAV W243 OTBUL W35 CHG A575 OMDUS,
TEBUS-ZWWW-01,ZMKD,TEBUS G588 FKG B215 WUR,
TELOK-ZBAA-01,UIAA,TELOK A345 IKITI W27 TGO G212 UKDUM W49 OSUBA,
TELOK-ZBLA-01,UIAA UIII UIUU,TELOK A345 HLD,
TELOK-ZBMZ-01,UIAA UIII UIUU UNAA UNBB UNKL UNNT,TELOK A345 MANLI W539 MZL,
TELOK-ZSPD-01,EDDF EDDM EGAE EGGW EGKK EGLL EGSS LOWW LSZH,TELOK A345 BIDIB A588 CHI W107 SANKO A326 AKARA A593 PUD,
TELOK-ZYCC-01,EKBI UIII UUDD UUEE UUMO UUWW,TELOK A345 HLD B451 HRB A588 PABKI W655 DUKIR,
TELOK-ZYHB-01,EFHK EKBI LFOK UIAA UIII UNAA UNKL UNNT USCC USSS,TELOK A345 HLD B451 ONINA,
TELOK-ZYTL-01,UNAA,TELOK A345 BIDIB A588 VENOS,
TELOK-ZYTX-01,EDDF EGAE EGGW EGKK EGLL EGSS EHAM UIII ULLI UNKL UNNT UUDD UUEE UUMO UUWW UWLW,TELOK A345 KYU,
TOMUK-ZBTJ-01,ZKPY,TOMUK B332 SANKO A326 UNSEK W55 DUMAP,
TOMUK-ZHCC-01,ZKPY,TOMUK B332 SANKO A326 MAKNO W5 HCH W4 TAMIX B208 NOPIN,
TOMUK-ZSJN-01,ZKPY,TOMUK B332 SANKO A326 MAKNO W5 HCH W4 BASOV,
TOMUK-ZSPD-01,UHWW ZKPY,TOMUK B332 SANKO A326 AKARA A593 PUD,
TOMUK-ZYTL-01,ZKPY,TOMUK B332 SANKO W579 RUPID,
