Arpt_ICAO	Procedure Type	Procedure Ident
6D6	SIAP	R28
6D9	SIAP	R08
6E5	SIAP	R16
6E5	SIAP	R34
6G1	SIAP	R01
6G1	SIAP	R19
6G5	SIAP	R27
6I2	SIAP	R11
6I2	SIAP	R29
6J0	SIAP	R18
6J0	SIAP	R36
6J0	SIAP	VOR-A
6J2	SIAP	R05
6J4	SIAP	R01
6J4	SIAP	R19
6K3	SIAP	R13
6K3	SIAP	R31
6K4	SIAP	R17
6K4	SIAP	R35
6L3	SIAP	R14
6L3	SIAP	R32
6L4	SIAP	R06
6L4	SIAP	R24
6M2	SIAP	RNV-A
6M6	SIAP	R18
6M6	SIAP	R36
6M7	SIAP	R18
6M7	SIAP	R36
6N5	SID	HUDSN1
6P7	SIAP	R14
6P7	SIAP	R32
6R1	SIAP	D07
6R3	SIAP	R16
6R3	SID	BLTWY7
6R3	SID	BORRN6
6R3	SID	HOODO7
6R3	SID	INDIE8
6R3	SID	KARRR7
6R3	SID	LURIC8
6R3	SID	MMALT7
6R3	SID	STRYA8
6R3	SID	STYCK8
6R3	SID	WATFO6
6R3	SID	WYLSN8
6R3	STAR	BAZBL1
6R3	STAR	HUDZY5
6R3	STAR	OHIIO4
6R3	STAR	PIEGY1
6R3	STAR	RIICE1
6S0	SIAP	R06
6S0	SIAP	R24
6S8	SIAP	R04
6S8	SIAP	R22
6S8	SIAP	S22
6Y1	SIAP	R10
6Y1	SIAP	R28
70J	SIAP	R13
70J	SIAP	R31
71J	SIAP	R13
71J	SIAP	R31
71J	SIAP	S31
74N	SIAP	RNV-A
74V	SIAP	R25
75J	SIAP	R17
75J	SIAP	R35
77F	SIAP	R18
77F	SIAP	R36
77G	SIAP	R10
77G	SIAP	R19
77G	SIAP	R28
77S	SIAP	R16
77S	SID	77S2
79D	SIAP	R26
79J	SIAP	R11
79J	SIAP	R29
79S	SIAP	R23
7A0	SIAP	R18
7A0	SIAP	R36
7A3	SIAP	R06
7A3	SIAP	R24
7B2	SIAP	R14
7D3	SIAP	RNV-A
7F3	SIAP	R36
7FL6	STAR	TTHOR3
7G0	SIAP	R28
7G8	SIAP	R11
7G8	SIAP	R29
7K5	SIAP	R26
7L2	SIAP	R09
7L2	SIAP	R27
7M1	SIAP	R18
7M1	SIAP	R36
7M2	SIAP	R27
7M4	SIAP	R19
7M5	SIAP	R04
7S0	SIAP	R16
7S0	SIAP	R34
